iter	Accuracy	Logloss
0	0.7443438914	0.6761688765
1	0.8280542986	0.6617473177
2	0.8597285068	0.6487785594
3	0.8755656109	0.6395092452
4	0.8868778281	0.6276052189
5	0.9095022624	0.6149990964
6	0.9185520362	0.6014183625
7	0.943438914	0.5868154098
8	0.9389140271	0.5806458733
9	0.9411764706	0.5725883941
10	0.9479638009	0.5638843934
11	0.9570135747	0.5540744697
12	0.9570135747	0.5451842024
13	0.9592760181	0.5390938882
14	0.9570135747	0.5326946906
15	0.9592760181	0.5255441429
16	0.9547511312	0.5153578817
17	0.9660633484	0.5053235997
18	0.9773755656	0.4980799204
19	0.9773755656	0.4926162786
20	0.9773755656	0.486644009
21	0.9819004525	0.4779238198
22	0.9819004525	0.4725247828
23	0.9819004525	0.4673163689
24	0.979638009	0.4625721248
25	0.979638009	0.4546766935
26	0.9841628959	0.4497137564
27	0.979638009	0.4443825495
28	0.9819004525	0.4388367871
29	0.9819004525	0.4326489522
30	0.9864253394	0.4286415405
31	0.9841628959	0.423590095
32	0.9864253394	0.4186815778
33	0.9864253394	0.4140882192
34	0.9886877828	0.4100547721
35	0.9886877828	0.4053865524
36	0.9909502262	0.4009563751
37	0.9909502262	0.3975455692
38	0.9909502262	0.394910099
39	0.9932126697	0.3882915923
40	0.9932126697	0.3840714347
41	0.9954751131	0.3799851494
42	0.9932126697	0.3760149951
43	0.9954751131	0.3676495463
44	0.9954751131	0.3659290582
45	0.9954751131	0.3615293289
46	0.9954751131	0.356412211
47	0.9954751131	0.3530883921
48	0.9954751131	0.3488802592
49	0.9954751131	0.3456171645
50	0.9954751131	0.3415090469
51	1	0.3378938307
52	1	0.3339716708
53	1	0.3305248899
54	0.9977375566	0.3265054076
55	1	0.3219823071
56	1	0.3174923468
57	1	0.3141373137
58	1	0.3114895251
59	1	0.3055425421
60	1	0.3010511348
61	1	0.2984970346
62	1	0.2935915677
63	1	0.2895292923
64	1	0.2875613049
65	1	0.2844723686
66	1	0.2812109988
67	1	0.2793284468
