iter	Passed	Remaining
0	214	213941
1	273	136330
2	329	109642
3	388	96795
4	439	87515
5	495	82050
6	551	78250
7	608	75450
8	670	73779
9	726	71967
10	784	70500
11	839	69105
12	895	67998
13	956	67351
14	1015	66716
15	1077	66242
16	1138	65835
17	1195	65248
18	1253	64714
19	1308	64113
20	1364	63615
21	1420	63161
22	1476	62718
23	1532	62320
24	1596	62271
25	1652	61916
26	1708	61555
27	1762	61172
28	1818	60893
29	1875	60626
30	1930	60342
31	1986	60089
32	2049	60070
33	2113	60054
34	2170	59852
35	2227	59654
36	2284	59446
37	2339	59216
38	2396	59052
39	2453	58884
40	2515	58835
41	2571	58646
42	2627	58473
43	2683	58312
44	2740	58162
45	2796	58002
46	2852	57836
47	2907	57661
48	2970	57645
49	3026	57499
50	3085	57407
51	3142	57294
52	3198	57152
53	3253	57004
54	3309	56866
55	3370	56820
56	3427	56698
57	3483	56572
58	3539	56454
59	3595	56325
60	3652	56223
61	3710	56132
62	3765	56001
63	3826	55968
64	3939	56665
65	4008	56723
66	4070	56676
67	4127	56576
