iter	Accuracy	Logloss
0	0.6852678571	0.6815987154
1	0.7566964286	0.6743055025
2	0.7879464286	0.6665358079
3	0.8058035714	0.659542022
4	0.8415178571	0.6500428616
5	0.8616071429	0.6388989696
6	0.875	0.6307233639
7	0.8839285714	0.6219955409
8	0.8928571429	0.6158090368
9	0.9040178571	0.6078146451
10	0.8995535714	0.6000791099
11	0.9151785714	0.5900124327
12	0.9107142857	0.5871734879
13	0.921875	0.5780076035
14	0.9419642857	0.5696599925
15	0.9464285714	0.5636806579
16	0.9419642857	0.5593056303
17	0.9486607143	0.5542275215
18	0.953125	0.5488347885
19	0.9598214286	0.5441953336
20	0.9598214286	0.5392130148
21	0.9598214286	0.5297179497
22	0.9642857143	0.5260702368
23	0.9665178571	0.5191132238
24	0.9732142857	0.5142788408
25	0.9709821429	0.5072414523
26	0.9776785714	0.4987496511
27	0.9754464286	0.4918093199
28	0.9754464286	0.4879968591
29	0.9754464286	0.4858947276
30	0.9732142857	0.4819503089
31	0.9776785714	0.4766827072
32	0.9799107143	0.4754612483
33	0.9799107143	0.4707046868
34	0.984375	0.4640542685
35	0.9866071429	0.4577440779
36	0.9910714286	0.4531695077
37	0.9910714286	0.4462392619
38	0.9933035714	0.4404123388
39	0.9955357143	0.4357730962
40	0.9955357143	0.4325299139
41	0.9955357143	0.4289811712
42	0.9955357143	0.4234402167
43	0.9955357143	0.4189314506
44	0.9933035714	0.4152212767
45	0.9933035714	0.4111173425
46	0.9955357143	0.4089076087
47	0.9955357143	0.4027645087
48	0.9977678571	0.3969320525
49	0.9955357143	0.3935869796
50	0.9977678571	0.3899625356
51	0.9977678571	0.3852080622
52	0.9977678571	0.3805710742
53	0.9977678571	0.3762412142
54	0.9977678571	0.3708326473
55	0.9977678571	0.3679579135
56	0.9977678571	0.3649766611
57	0.9977678571	0.3608104687
58	0.9977678571	0.3580658483
59	0.9977678571	0.3562114971
60	0.9977678571	0.3530438148
61	0.9977678571	0.3499617644
62	0.9977678571	0.346525316
63	0.9977678571	0.3425697236
64	0.9977678571	0.3398807941
65	0.9977678571	0.3372821517
66	0.9977678571	0.3343336717
67	0.9977678571	0.3309852851
68	0.9977678571	0.329068318
69	0.9977678571	0.3262362831
70	0.9977678571	0.3244675394
71	0.9977678571	0.3219109002
72	0.9977678571	0.3168106885
73	0.9977678571	0.3136128179
74	1	0.3118295116
75	1	0.310040445
76	0.9977678571	0.3066079722
77	0.9977678571	0.3038098121
78	1	0.2999828676
79	0.9977678571	0.298503033
80	1	0.2961313381
81	1	0.2922604495
82	1	0.2894022141
83	1	0.2865993753
84	1	0.2855777661
85	1	0.281796072
86	1	0.2793295573
87	1	0.2756862368
88	1	0.2728744567
89	1	0.2709145197
90	1	0.2682965419
91	1	0.2661403167
92	1	0.2647133864
93	1	0.2625756852
