iter	Passed	Remaining
0	234	234163
1	290	144918
2	344	114335
3	403	100585
4	463	92172
5	522	86586
6	582	82584
7	642	79707
8	708	78016
9	767	75960
10	825	74223
11	882	72676
12	941	71472
13	998	70352
14	1062	69743
15	1120	68922
16	1185	68523
17	1244	67896
18	1304	67346
19	1363	66825
20	1420	66225
21	1477	65702
22	1535	65238
23	1598	64995
24	1665	64941
25	1728	64749
26	1786	64382
27	1844	64030
28	1902	63691
29	1960	63394
30	2020	63166
31	2079	62919
32	2115	61982
33	2178	61899
34	2236	61670
35	2295	61458
36	2355	61304
37	2416	61168
38	2475	61001
39	2536	60868
40	2600	60818
41	2661	60711
42	2724	60645
43	2785	60531
44	2845	60389
45	2906	60272
46	2967	60167
47	3027	60045
48	3091	59998
49	3152	59890
50	3212	59781
51	3271	59634
52	3332	59543
53	3392	59432
54	3451	59303
55	3511	59187
56	3575	59157
57	3634	59021
58	3696	58953
59	3754	58826
60	3813	58695
61	3870	58560
62	3929	58440
63	3987	58318
64	4060	58402
65	4119	58297
66	4178	58191
67	4237	58077
68	4302	58054
69	4371	58080
70	4438	58081
71	4535	58453
72	4612	58566
73	4676	58517
74	4744	58515
75	4803	58401
76	4862	58285
77	4920	58166
78	4978	58045
79	5039	57948
80	5105	57920
81	5166	57834
82	5226	57740
83	5285	57633
84	5345	57543
85	5405	57450
86	5464	57343
87	5523	57247
88	5591	57232
89	5650	57133
90	5716	57097
91	5775	57005
92	5835	56909
93	5902	56890
